feature,shap_mean_abs
BMI,0.013360936764404602
agea,0.011093557212984507
dosprt,0.0034378291389768195
etfruit,0.0034264833089311907
hinctnta,0.002730458571123359
eatveg,0.0015215088235764744
edulvlb_322.0,0.0011967194998068061
alcfreq_7,0.001154612779829325
alcfreq_4,0.0008003308765346897
cgtsmok_5,0.0007357320359268934
cgtsmok_6,0.0006998190312250753
edulvlb_5555.0,0.0006837919676832473
cgtsmok_4,0.0006737458970427835
edulvlb_212.0,0.0006043168580967183
edulvlb_720.0,0.0005997004784353302
alcfreq_2,0.0005710730466323616
alcfreq_5,0.0005500892232092903
alcfreq_3,0.0005416537036277333
edulvlb_313.0,0.00046690921657259563
gndr_2,0.0004445263556241575
alcfreq_6,0.0003010649415096211
edulvlb_423.0,0.00027642425773127875
cgtsmok_2,0.00019100293313734215
edulvlb_610.0,0.0001718511463269048
edulvlb_520.0,0.00010151989940211276
edulvlb_422.0,8.347764165472026e-05
edulvlb_213.0,7.912862935009717e-05
edulvlb_620.0,6.0974333266059e-05
cgtsmok_3,5.891459097071429e-05
edulvlb_800.0,4.675411502517059e-05
edulvlb_113.0,3.3055216503096566e-05
edulvlb_710.0,1.3700644369565998e-05
alcfreq_77,0.0
