Model,Predictor,SampleSize,OR,SE,Lower90CI,Upper90CI,Lower95CI,Upper95CI,PValue,AUC,BrierScore,ICC
Model 1: Demographics,Intercept,46162,0.3155501117345463,0.034981399395571273,0.29790606552437515,0.3342391597177383,0.29464027903712625,0.33794385934293136,1.9880894971813237e-238,0.7753405333674546,0.1920166407986591,
Model 1: Demographics,agea,46162,1.001688825028469,0.00011408476472210666,1.0015008730122004,1.0018768123177575,1.0014648704130105,1.001912829726233,1.6804133659605034e-49,0.7753405333674546,0.1920166407986591,
Model 1: Demographics,gndr,46162,1.005035875308393,0.021320473730700798,0.9704010679318276,1.040906841549219,0.9639034712462123,1.0479235118335786,0.8137381928151741,0.7753405333674546,0.1920166407986591,
Model 2: + Socioeconomic,Intercept,46162,0.4098319416010057,0.048459090441359584,0.37843300900067894,0.4438360723341363,0.3726982478143306,0.4506654413897995,1.1449570106658987e-75,0.6752883046715711,0.18801743666619308,
Model 2: + Socioeconomic,agea,46162,1.0020367453912193,0.00012182653205540572,1.0018359705581774,1.0022375604609217,1.0017975120135807,1.0022760358987752,1.2801830637575221e-62,0.6752883046715711,0.18801743666619308,
Model 2: + Socioeconomic,gndr,46162,1.0107717334939617,0.02151982652051737,0.975619297156965,1.0471907435693288,0.9690258860266225,1.0543160012160084,0.6185738516585585,0.6752883046715711,0.18801743666619308,
Model 2: + Socioeconomic,edulvlb,46162,0.9996721045061823,3.3143005934713615e-05,0.9996176084734641,0.999726603509854,0.999607168817111,0.9997370444135543,4.3771341469724546e-23,0.6752883046715711,0.18801743666619308,
Model 2: + Socioeconomic,hinctnta,46162,0.9898905560112563,0.00040015787664170047,0.989239223301493,0.9905423175700672,0.989114494142061,0.9906672267806632,3.0747646078627652e-142,0.6752883046715711,0.18801743666619308,
Model 2: + Socioeconomic,mainact,46162,1.0007515139563377,0.0005051774374587748,0.9999202919477205,1.0015834269500594,0.9997611306617259,1.0017428783443727,0.13699763127539336,0.6752883046715711,0.18801743666619308,
Model 3: + Lifestyle,Intercept,46162,0.2629802859607539,0.04934884722557737,0.2424771406805035,0.2852171161780803,0.23873570609356914,0.28968700131053765,2.4754499841437517e-161,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,agea,46162,1.0020043808068424,0.00012364211647720424,1.0018006207061771,1.002208182351062,1.00176159040115,1.0022472300560574,5.476508235732643e-59,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,gndr,46162,0.9339690664848935,0.02228416965982495,0.9003549918973752,0.9688380971958782,0.8940548692825537,0.9756651936258126,0.0021731164066353405,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,edulvlb,46162,0.9996871667025091,3.104018360132652e-05,0.9996361274190789,0.9997382085918959,0.99962634994261,0.999747987162469,6.778856460414913e-24,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,hinctnta,46162,0.9901891254715856,0.000404262793831217,0.9895309149843771,0.9908477737834632,0.9894048692487951,0.9909740033386009,2.271216864519292e-131,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,cgtsmok,46162,1.0262129294673643,0.006087258435306923,1.0159890887657952,1.0365396520993075,1.014042128867557,1.0385298072202047,2.1308009818273676e-05,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,BMI,46162,1.0008573248125583,0.00022046173807999084,1.0004944524313908,1.0012203288050152,1.0004249507189318,1.001289885774132,0.00010144764667264065,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,alcfreq,46162,0.9971040286929502,0.001953462959927909,0.9939053150216923,1.00031303687516,0.9932936984938199,1.0009289755319006,0.13764145266702274,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,etfruit,46162,0.9877954656541407,0.0029707476101618257,0.9829804312396364,0.9926340860482596,0.9820606807058185,0.993563739122113,3.572614561094181e-05,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,eatveg,46162,1.010597675722812,0.0025018235316964063,1.0064474765308298,1.0147649887272232,1.0056543558213709,1.0155652946406166,2.512297510140499e-05,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,dosprt,46162,0.9764081728417386,0.0019725172163156013,0.9732453481471669,0.9795812759928861,0.9726406051410706,0.9801903343875576,1.0107247607386546e-33,0.6543317465895216,0.18403261620559103,
Model 3: + Lifestyle,slprl,46162,1.3554160772804997,0.01168566252468219,1.3296121337103914,1.3817208011059077,1.32472514159754,1.3868180536944894,2.6454438506859556e-149,0.6543317465895216,0.18403261620559103,
Model 4: + Region Fixed Effects,Intercept,46162,0.42053801805932656,0.056244312139421965,0.38337791505267915,0.46129998022699237,0.37664310227660347,0.4695485555537605,1.6108056891806376e-53,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,C(region)[T.North],46162,1.0852792295821443,0.0484436421465776,1.002156930683955,1.1752959742129037,0.9869750825100199,1.1933746120185917,0.09115616642212701,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,C(region)[T.South],46162,0.8469623733766659,0.045606858031451925,0.7857507769001374,0.9129424787154917,0.7745393542854667,0.9261572803845519,0.00027055499978305734,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,C(region)[T.Unknown],46162,1.1377047572058312,0.03807016438884807,1.0686466277362459,1.2112255641611822,1.0559034074587597,1.2258432972424453,0.0007019455965100617,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,C(region)[T.West],46162,0.9299617166352941,0.03871849700179754,0.8725824604613842,0.9911141165386005,0.8620011120401775,1.0032803697438315,0.060740593528818575,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,agea,46162,1.0021067748077275,0.00012495837957621,1.0019008247071055,1.002312767243322,1.0018613749578542,1.0023522347668015,1.1995096950425499e-63,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,gndr,46162,0.9829008920261094,0.022049733329034763,0.9478911825033867,1.0192036611146238,0.9413279677285368,1.0263098480723427,0.4341054534624188,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,edulvlb,46162,0.999666240347052,3.4084054866602134e-05,0.9996101973484366,0.9997222864877098,0.9995994613539467,0.999733023801378,1.1960803161700382e-22,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,hinctnta,46162,0.9897007593123698,0.0004062528653466474,0.9890396359535668,0.9903623245989578,0.988913032656963,0.9904891134377999,3.0228796204193204e-143,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,cgtsmok,46162,1.0262850538604549,0.006102317925466074,1.016035326431663,1.036638180166856,1.0140834656828313,1.0386334531824217,2.1210528747719804e-05,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,BMI,46162,1.0010678541115776,0.00021895926066357275,1.0007073785011371,1.00142845957283,1.0006383357455666,1.0014975568459261,1.0916656673503658e-06,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,alcfreq,46162,0.9978340530247722,0.0019531665826559657,0.9946334823135178,1.0010449226582525,0.99402151052873,1.001661218423971,0.26693700856596303,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,etfruit,46162,0.9886662857103856,0.0029562506216109113,0.9838704669900368,0.993485481366998,0.9829543739457217,0.9944113891845248,0.00011539658420475069,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,eatveg,46162,1.011656987146398,0.0024876588561137747,1.007525911592943,1.0158050010088655,1.006736434527293,1.016601589593489,3.180190167789164e-06,0.6560606898863882,0.1862642010135295,
Model 4: + Region Fixed Effects,dosprt,46162,0.9767787958132509,0.0020250922145349593,0.9735305777907893,0.9800378516260829,0.9729095392979364,0.9806634403429455,4.02688153241689e-31,0.6560606898863882,0.1862642010135295,
